epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4881,1.51997,3.25915,1.56561,0.53686,0.56207,0.54753,0.30616,1.54971,2.01508,1.55973,0.000235098,0.000235098,0.000235098
2,45.7074,1.3344,1.71638,1.44136,0.61028,0.51522,0.57252,0.32459,1.53554,1.76341,1.66742,0.00046373,0.00046373,0.00046373
3,67.7501,1.36741,1.61289,1.47357,0.43908,0.43833,0.39489,0.19651,1.83086,2.52454,1.94309,0.000682938,0.000682938,0.000682938
4,90.8823,1.36054,1.58064,1.47635,0.46733,0.52639,0.47091,0.25402,1.63458,1.92765,1.78563,0.000671588,0.000671588,0.000671588
5,115.269,1.30888,1.4419,1.43342,0.57857,0.55582,0.59419,0.32652,1.56977,1.6504,1.65128,0.000657451,0.000657451,0.000657451
6,139.303,1.27541,1.30459,1.39649,0.61193,0.63054,0.65701,0.34931,1.59185,1.49052,1.69892,0.000643314,0.000643314,0.000643314
7,161.219,1.22615,1.23251,1.38943,0.55698,0.65818,0.64465,0.36809,1.48206,1.51169,1.65826,0.000629177,0.000629177,0.000629177
8,185.064,1.19984,1.1493,1.36738,0.65065,0.63005,0.63599,0.33306,1.60058,1.47324,1.74751,0.00061504,0.00061504,0.00061504
9,207.01,1.15877,1.08344,1.32453,0.74826,0.58607,0.69173,0.40721,1.47171,1.34687,1.60043,0.000600902,0.000600902,0.000600902
10,228.805,1.12524,1.02222,1.32134,0.63696,0.69591,0.7146,0.38883,1.56144,1.29706,1.70762,0.000586765,0.000586765,0.000586765
11,250.434,1.07894,0.97777,1.27289,0.6796,0.70182,0.71929,0.40055,1.49995,1.34993,1.66153,0.000572628,0.000572628,0.000572628
12,271.998,1.03314,0.9345,1.25395,0.69799,0.71765,0.74361,0.44127,1.45956,1.29831,1.57974,0.000558491,0.000558491,0.000558491
13,294.477,1.01692,0.89082,1.23246,0.756,0.66185,0.73537,0.44912,1.41563,1.19493,1.56565,0.000544354,0.000544354,0.000544354
14,316.205,0.97392,0.83305,1.19838,0.76525,0.63585,0.70279,0.41516,1.49309,1.4052,1.64946,0.000530216,0.000530216,0.000530216
15,338.284,0.97896,0.83335,1.21327,0.7658,0.59313,0.7148,0.40848,1.4712,1.34692,1.59329,0.000516079,0.000516079,0.000516079
16,360.644,0.93407,0.77326,1.17566,0.78085,0.70662,0.75697,0.44045,1.41044,1.22737,1.56108,0.000501942,0.000501942,0.000501942
17,384.969,0.91135,0.76218,1.16959,0.76375,0.73434,0.78109,0.44713,1.4784,1.17641,1.63418,0.000487805,0.000487805,0.000487805
18,409.484,0.89965,0.73953,1.1601,0.80527,0.72065,0.76859,0.4655,1.41657,1.20331,1.56841,0.000473668,0.000473668,0.000473668
19,460.336,0.87056,0.70911,1.14073,0.76625,0.71052,0.7609,0.46096,1.47195,1.13854,1.64557,0.00045953,0.00045953,0.00045953
20,485.022,0.83543,0.70257,1.13215,0.76125,0.69899,0.77296,0.45918,1.41781,1.19459,1.56637,0.000445393,0.000445393,0.000445393
21,507.256,0.82606,0.66999,1.11376,0.83847,0.67952,0.7426,0.45346,1.45822,1.27474,1.64595,0.000431256,0.000431256,0.000431256
22,530.542,0.79648,0.63903,1.09422,0.73283,0.75775,0.77044,0.46001,1.43863,1.15946,1.58672,0.000417119,0.000417119,0.000417119
23,554.445,0.77706,0.63523,1.09471,0.78379,0.71085,0.7675,0.48364,1.38675,1.12916,1.56065,0.000402982,0.000402982,0.000402982
24,579.507,0.76639,0.62079,1.08075,0.82763,0.71918,0.78659,0.47639,1.4465,1.16431,1.61309,0.000388844,0.000388844,0.000388844
25,600.822,0.7452,0.58664,1.06567,0.77971,0.74034,0.76247,0.45748,1.41732,1.21973,1.60502,0.000374707,0.000374707,0.000374707
26,621.774,0.71782,0.56937,1.0621,0.79007,0.71083,0.75548,0.46748,1.43378,1.17223,1.65386,0.00036057,0.00036057,0.00036057
27,643.282,0.71483,0.5734,1.05169,0.7292,0.75783,0.76348,0.46781,1.41171,1.17992,1.59189,0.000346433,0.000346433,0.000346433
